2025-03-24 23:02:38,094 - Source: 192.168.0.108 -> Destination: 142.250.205.234 | UDP | Src Port: 50498, Dst Port: 443
2025-03-24 23:02:38,095 - Source: 142.250.205.234 -> Destination: 192.168.0.108 | UDP | Src Port: 443, Dst Port: 50498
2025-03-24 23:02:38,096 - Source: 192.168.0.108 -> Destination: 142.250.205.234 | UDP | Src Port: 50498, Dst Port: 443
2025-03-24 23:02:38,106 - Source: 142.250.205.234 -> Destination: 192.168.0.108 | UDP | Src Port: 443, Dst Port: 50498
2025-03-24 23:02:38,107 - Source: 142.250.205.234 -> Destination: 192.168.0.108 | UDP | Src Port: 443, Dst Port: 50498
2025-03-24 23:02:38,108 - Source: 192.168.0.108 -> Destination: 142.250.205.234 | UDP | Src Port: 50498, Dst Port: 443
2025-03-24 23:02:38,109 - Source: 192.168.0.108 -> Destination: 142.250.205.234 | UDP | Src Port: 50498, Dst Port: 443
2025-03-24 23:02:38,114 - Source: 142.250.205.234 -> Destination: 192.168.0.108 | UDP | Src Port: 443, Dst Port: 50498
2025-03-24 23:02:38,116 - \U0001f6a8 Possible DDoS Attack from 192.168.0.108 - 23 packets
2025-03-24 23:02:47,086 - Source: 192.168.0.108 -> Destination: 34.139.124.58 | TCP | Src Port: 51606, Dst Port: 443
2025-03-24 23:02:47,087 - Source: 192.168.0.108 -> Destination: 34.139.124.58 | TCP | Src Port: 51606, Dst Port: 443
2025-03-24 23:02:47,353 - Source: 34.139.124.58 -> Destination: 192.168.0.108 | TCP | Src Port: 443, Dst Port: 51606
2025-03-24 23:02:47,366 - Source: 34.139.124.58 -> Destination: 192.168.0.108 | TCP | Src Port: 443, Dst Port: 51606
2025-03-24 23:02:47,367 - Source: 34.139.124.58 -> Destination: 192.168.0.108 | TCP | Src Port: 443, Dst Port: 51606
2025-03-24 23:02:47,368 - Source: 192.168.0.108 -> Destination: 34.139.124.58 | TCP | Src Port: 51606, Dst Port: 443
2025-03-24 23:02:48,496 - Source: 192.168.0.108 -> Destination: 3.233.158.24 | TCP | Src Port: 51596, Dst Port: 443
2025-03-24 23:02:48,498 - Source: 192.168.0.108 -> Destination: 3.233.158.24 | TCP | Src Port: 51597, Dst Port: 443
2025-03-24 23:02:48,756 - Source: 3.233.158.24 -> Destination: 192.168.0.108 | TCP | Src Port: 443, Dst Port: 51596
2025-03-24 23:02:48,757 - Source: 3.233.158.24 -> Destination: 192.168.0.108 | TCP | Src Port: 443, Dst Port: 51597
2025-03-24 23:02:51,664 - Source: 192.168.0.108 -> Destination: 142.250.71.106 | UDP | Src Port: 55009, Dst Port: 443
2025-03-24 23:02:51,705 - Source: 142.250.71.106 -> Destination: 192.168.0.108 | UDP | Src Port: 443, Dst Port: 55009
2025-03-24 23:02:52,600 - Source: 157.240.16.53 -> Destination: 192.168.0.108 | TCP | Src Port: 80, Dst Port: 51432
2025-03-24 23:02:52,617 - Source: 192.168.0.108 -> Destination: 157.240.16.53 | TCP | Src Port: 51432, Dst Port: 80
2025-03-24 23:02:52,643 - Source: 157.240.16.53 -> Destination: 192.168.0.108 | TCP | Src Port: 80, Dst Port: 51432
2025-03-24 23:02:53,601 - Source: 108.174.10.20 -> Destination: 192.168.0.108 | TCP | Src Port: 443, Dst Port: 51147
2025-03-24 23:02:53,643 - Source: 192.168.0.108 -> Destination: 108.174.10.20 | TCP | Src Port: 51147, Dst Port: 443
2025-03-24 23:02:57,111 - Source: 192.168.0.108 -> Destination: 140.82.114.25 | TCP | Src Port: 51467, Dst Port: 443
2025-03-24 23:02:57,301 - Source: 74.125.200.188 -> Destination: 192.168.0.108 | TCP | Src Port: 5228, Dst Port: 50671
2025-03-24 23:02:57,302 - Source: 192.168.0.108 -> Destination: 74.125.200.188 | TCP | Src Port: 50671, Dst Port: 5228
2025-03-24 23:02:57,409 - Source: 140.82.114.25 -> Destination: 192.168.0.108 | TCP | Src Port: 443, Dst Port: 51467
2025-03-24 23:02:58,014 - Source: 192.168.0.108 -> Destination: 142.250.182.100 | UDP | Src Port: 62638, Dst Port: 443
2025-03-24 23:02:58,015 - Source: 192.168.0.108 -> Destination: 142.250.182.100 | UDP | Src Port: 62638, Dst Port: 443
2025-03-24 23:02:58,017 - Source: 192.168.0.108 -> Destination: 142.250.182.100 | UDP | Src Port: 62638, Dst Port: 443
2025-03-24 23:02:58,029 - Source: 142.250.182.100 -> Destination: 192.168.0.108 | UDP | Src Port: 443, Dst Port: 62638
2025-03-24 23:02:58,032 - Source: 142.250.182.100 -> Destination: 192.168.0.108 | UDP | Src Port: 443, Dst Port: 62638
2025-03-24 23:02:58,059 - Source: 192.168.0.108 -> Destination: 142.250.182.100 | UDP | Src Port: 62638, Dst Port: 443
2025-03-24 23:02:58,067 - Source: 142.250.182.100 -> Destination: 192.168.0.108 | UDP | Src Port: 443, Dst Port: 62638
2025-03-24 23:02:58,069 - Source: 142.250.182.100 -> Destination: 192.168.0.108 | UDP | Src Port: 443, Dst Port: 62638
2025-03-24 23:02:58,070 - Source: 142.250.182.100 -> Destination: 192.168.0.108 | UDP | Src Port: 443, Dst Port: 62638
2025-03-24 23:02:58,072 - Source: 142.250.182.100 -> Destination: 192.168.0.108 | UDP | Src Port: 443, Dst Port: 62638
2025-03-24 23:02:58,073 - Source: 142.250.182.100 -> Destination: 192.168.0.108 | UDP | Src Port: 443, Dst Port: 62638
2025-03-24 23:02:58,074 - Source: 192.168.0.108 -> Destination: 142.250.182.100 | UDP | Src Port: 62638, Dst Port: 443
2025-03-24 23:02:58,074 - Source: 192.168.0.108 -> Destination: 142.250.182.100 | UDP | Src Port: 62638, Dst Port: 443
2025-03-24 23:02:58,075 - Source: 142.250.182.100 -> Destination: 192.168.0.108 | UDP | Src Port: 443, Dst Port: 62638
2025-03-24 23:02:58,083 - Source: 142.250.182.100 -> Destination: 192.168.0.108 | UDP | Src Port: 443, Dst Port: 62638
2025-03-24 23:02:58,084 - Source: 192.168.0.108 -> Destination: 142.250.182.100 | UDP | Src Port: 62638, Dst Port: 443
2025-03-24 23:02:58,120 - Source: 142.250.71.106 -> Destination: 192.168.0.108 | UDP | Src Port: 443, Dst Port: 55009
2025-03-24 23:02:58,130 - Source: 192.168.0.108 -> Destination: 142.250.71.106 | UDP | Src Port: 55009, Dst Port: 443
2025-03-24 23:02:58,146 - Source: 192.168.0.108 -> Destination: 4.213.25.242 | TCP | Src Port: 60106, Dst Port: 443
2025-03-24 23:02:58,211 - Source: 4.213.25.242 -> Destination: 192.168.0.108 | TCP | Src Port: 443, Dst Port: 60106
2025-03-24 23:02:58,259 - Source: 192.168.0.108 -> Destination: 4.213.25.242 | TCP | Src Port: 60106, Dst Port: 443
2025-03-24 23:02:58,322 - Source: 192.168.0.108 -> Destination: 142.250.71.106 | UDP | Src Port: 55009, Dst Port: 443
2025-03-24 23:02:58,364 - Source: 142.250.71.106 -> Destination: 192.168.0.108 | UDP | Src Port: 443, Dst Port: 55009
2025-03-24 23:02:58,496 - Source: 20.192.44.68 -> Destination: 192.168.0.108 | TCP | Src Port: 443, Dst Port: 50695
2025-03-24 23:02:58,540 - Source: 192.168.0.108 -> Destination: 20.192.44.68 | TCP | Src Port: 50695, Dst Port: 443
2025-03-24 23:02:58,576 - Source: 192.168.0.108 -> Destination: 142.250.71.106 | UDP | Src Port: 55009, Dst Port: 443
2025-03-24 23:02:58,618 - Source: 142.250.71.106 -> Destination: 192.168.0.108 | UDP | Src Port: 443, Dst Port: 55009
2025-03-24 23:02:58,822 - Source: 192.168.0.108 -> Destination: 142.250.71.106 | UDP | Src Port: 55009, Dst Port: 443
2025-03-24 23:02:58,866 - Source: 142.250.71.106 -> Destination: 192.168.0.108 | UDP | Src Port: 443, Dst Port: 55009
2025-03-24 23:02:59,067 - Source: 192.168.0.108 -> Destination: 142.250.71.106 | UDP | Src Port: 55009, Dst Port: 443
2025-03-24 23:02:59,117 - Source: 142.250.71.106 -> Destination: 192.168.0.108 | UDP | Src Port: 443, Dst Port: 55009
2025-03-24 23:02:59,323 - Source: 192.168.0.108 -> Destination: 142.250.71.106 | UDP | Src Port: 55009, Dst Port: 443
2025-03-24 23:02:59,325 - \U0001f6a8 Possible DDoS Attack from 192.168.0.108 - 26 packets
2025-03-24 23:03:16,615 - Source: 192.168.0.108 -> Destination: 20.189.173.7 | TCP | Src Port: 51588, Dst Port: 443
2025-03-24 23:03:16,628 - Source: 192.168.0.108 -> Destination: 34.139.124.58 | TCP | Src Port: 51606, Dst Port: 443
2025-03-24 23:03:16,667 - Source: 192.168.0.108 -> Destination: 20.192.44.68 | TCP | Src Port: 50695, Dst Port: 443
2025-03-24 23:03:16,720 - Source: 20.192.44.68 -> Destination: 192.168.0.108 | TCP | Src Port: 443, Dst Port: 50695
2025-03-24 23:03:16,733 - Source: 192.168.0.108 -> Destination: 224.0.0.251 | UDP | Src Port: 5353, Dst Port: 5353
2025-03-24 23:03:16,736 - Source: 192.168.0.108 -> Destination: 224.0.0.251 | UDP | Src Port: 5353, Dst Port: 5353
2025-03-24 23:03:16,876 - Source: 20.189.173.7 -> Destination: 192.168.0.108 | TCP | Src Port: 443, Dst Port: 51588
2025-03-24 23:03:16,877 - Source: 192.168.0.108 -> Destination: 20.189.173.7 | TCP | Src Port: 51588, Dst Port: 443
2025-03-24 23:03:16,898 - Source: 34.139.124.58 -> Destination: 192.168.0.108 | TCP | Src Port: 443, Dst Port: 51606
2025-03-24 23:03:16,899 - Source: 192.168.0.108 -> Destination: 34.139.124.58 | TCP | Src Port: 51606, Dst Port: 443
2025-03-24 23:03:16,899 - Source: 192.168.0.108 -> Destination: 34.139.124.58 | TCP | Src Port: 51606, Dst Port: 443
2025-03-24 23:03:16,998 - Source: 192.168.0.108 -> Destination: 224.0.0.251 | UDP | Src Port: 5353, Dst Port: 5353
2025-03-24 23:03:17,016 - Source: 192.168.0.108 -> Destination: 34.139.124.58 | TCP | Src Port: 51608, Dst Port: 443
2025-03-24 23:03:17,166 - Source: 34.139.124.58 -> Destination: 192.168.0.108 | TCP | Src Port: 443, Dst Port: 51606
2025-03-24 23:03:17,173 - Source: 34.139.124.58 -> Destination: 192.168.0.108 | TCP | Src Port: 443, Dst Port: 51606
2025-03-24 23:03:17,174 - Source: 192.168.0.108 -> Destination: 34.139.124.58 | TCP | Src Port: 51606, Dst Port: 443
2025-03-24 23:03:17,176 - Source: 34.139.124.58 -> Destination: 192.168.0.108 | TCP | Src Port: 443, Dst Port: 51606
2025-03-24 23:03:17,177 - Source: 192.168.0.108 -> Destination: 34.139.124.58 | TCP | Src Port: 51606, Dst Port: 443
2025-03-24 23:03:17,251 - Source: 192.168.0.108 -> Destination: 224.0.0.251 | UDP | Src Port: 5353, Dst Port: 5353
2025-03-24 23:03:17,298 - Source: 34.139.124.58 -> Destination: 192.168.0.108 | TCP | Src Port: 443, Dst Port: 51608
2025-03-24 23:03:17,482 - Source: 34.139.124.58 -> Destination: 192.168.0.108 | TCP | Src Port: 443, Dst Port: 51606
2025-03-24 23:03:17,509 - Source: 192.168.0.108 -> Destination: 224.0.0.251 | UDP | Src Port: 5353, Dst Port: 5353
2025-03-24 23:03:17,514 - Source: 192.168.0.108 -> Destination: 224.0.0.251 | UDP | Src Port: 5353, Dst Port: 5353
2025-03-24 23:03:18,815 - Source: 192.168.0.108 -> Destination: 142.250.183.42 | TCP | Src Port: 51539, Dst Port: 443
2025-03-24 23:03:18,917 - Source: 142.250.183.42 -> Destination: 192.168.0.108 | TCP | Src Port: 443, Dst Port: 51539
2025-03-24 23:03:18,985 - Source: 142.250.71.106 -> Destination: 192.168.0.108 | UDP | Src Port: 443, Dst Port: 55009
2025-03-24 23:03:18,997 - Source: 192.168.0.108 -> Destination: 142.250.71.106 | UDP | Src Port: 55009, Dst Port: 443
2025-03-24 23:03:19,054 - Source: 142.250.71.106 -> Destination: 192.168.0.108 | UDP | Src Port: 443, Dst Port: 55009
